microsample	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size	collection_method	collection	collection_attempts	cycles	animal	protocol	fastp_total_before_filtering.total_reads	fastp_total_after_filtering.total_reads	fastp_total_low_quality_reads	fastp_total_adapter_trimmed_reads	fastp_total_total_polyx_trimmed_reads	fastp_total_polyx_trimmed_reads.A	fastp_total_polyx_trimmed_reads.T	fastp_total_polyx_trimmed_reads.C	fastp_total_polyx_trimmed_reads.G	fastp_total_before_filtering.total_bases	fastp_total_after_filtering.total_bases	fastp_total_adapter_trimmed_bases	fastp_total_total_polyx_trimmed_bases	fastp_total_polyx_trimmed_bases.A	fastp_total_polyx_trimmed_bases.T	fastp_total_polyx_trimmed_bases.C	fastp_total_polyx_trimmed_bases.G	fastp_avg_before_filtering.gc_content	fastp_avg_after_filtering.gc_content	fastp_avg_duplication.rate	raw_sequences_chicken	raw_sequences_human	raw_sequences_pig	reads_mapped_chicken	reads_mapped_human	reads_mapped_pig	reads_unmapped_chicken	reads_unmapped_human	reads_unmapped_pig	raw_sequences_bacteria	reads_mapped_bacteria	reads_unmapped_bacteria	mapbac_counts_unfilt	mapbac_counts_filt	genome_count_filtering30
M300585	Caecum right	NegativeCollection	MSEB0006	G121eI101Z	B12	NA	NA	NA	Plate96_Covaris_520272	NA	0	13	G121e	ULV2_Full	1941852	994076	50124	1051866	8889	4126	3187	763	813	291277800	144794967	63285172	141353	49849	45383	18670	27451	0.612573	0.468901	0.304115	994076	984870	225438	8869	755143	215	985207	229727	225223	225208	2529	222679	2529	0	excluded
M300586	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B12	73652.53888	35857.69264	5000	Plate96_Covaris_520272	Success	1	13	G121e	ULV2_Full	346456	166470	7890	238450	756	373	158	83	142	51968400	23020811	13157190	14292	4686	2748	2034	4824	0.682093	0.592691	0.211248	166470	166396	147748	57	18524	60	166413	147872	147688	147680	796	146884	796	0	excluded
M300587	Caecum right	NegativeReaction	MSEB0006	G121eI101R	B12	NA	NA	NA	Plate96_Covaris_520272	NA	0	13	G121e	ULV2_Full	434392	91978	23424	354239	1706	1069	157	72	408	65158800	12666058	22100041	31628	11445	3466	1930	14787	0.728065	0.582863	0.132885	91978	91896	82318	68	9497	36	91910	82399	82282	82280	458	81822	458	0	excluded
M300588	Caecum right	Positive	MSEB0006	G121eI101B	B12	75330.01734	26890.36198	5000	Plate96_Covaris_520272	Success	1	13	G121e	ULV2_Full	100750630	97851774	1454472	13328444	153197	54886	55094	29308	13909	15112594500	14432246746	324862065	2269737	538139	545885	740974	444739	0.527133	0.522874	0.48054	97851774	97760510	97676824	87882	82702	927	97763892	97677808	97675897	97675114	81388162	16286952	81388162	75585441	retained
M300589	Caecum right	Positive	MSEB0006	G121eI101B	B12	75862.86558	27323.96416	5000	Plate96_Covaris_520272	Success	3	13	G121e	ULV2_Full	55023522	52091584	884814	6742494	89533	30827	30484	18313	9909	8253528300	7714516125	218945675	1563251	305002	310427	538333	409489	0.527283	0.516739	0.29012	52091584	52084804	52047550	4329	36024	828	52087255	52048780	52046722	52046018	43510963	8535055	43510963	40186744	retained
M300590	Caecum right	Positive	MSEB0006	G121eI101B	B12	76508.23134	27653.83552	5000	Plate96_Covaris_520272	Success	1	13	G121e	ULV2_Full	43731716	42410712	743088	4749505	72640	26936	27011	11951	6742	6559757400	6272133004	117904568	1095428	263870	265397	317862	248299	0.514503	0.509869	0.339602	42410712	42407100	42378266	1978	27939	610	42408734	42379161	42377656	42377174	35035088	7342086	35035088	32344517	retained
M300591	Caecum right	Positive	MSEB0006	G121eI101B	B12	76848.92556	27815.44156	5000	Plate96_Covaris_520272	Success	1	13	G121e	ULV2_Full	490120	228580	10368	285942	935	459	154	121	201	73518000	33356648	17155024	18483	5420	3355	2635	7073	0.693518	0.604534	0.239619	228580	228450	215844	109	12523	35	228471	215927	215809	215808	43120	172688	43120	0	excluded
M300592	Caecum right	Positive	MSEB0006	G121eI101B	B12	77351.46416	28017.2736	5000	Plate96_Covaris_520272	Success	1	13	G121e	ULV2_Full	48707620	46772872	792322	3701184	77297	28511	28192	13141	7453	7306143000	6965414755	114229398	1189552	278315	280422	344079	286736	0.519738	0.512575	0.204436	46772872	46768420	46759158	2504	9033	605	46770368	46759387	46758553	46757968	39155943	7602025	39155943	36418217	retained
M300593	Caecum right	Positive	MSEB0006	G121eI101B	B12	77854.21644	28261.4887	5000	Plate96_Covaris_520272	Success	1	13	G121e	ULV2_Full	45125458	43526312	686830	5502145	71866	25497	26680	12743	6946	6768818700	6431298190	148188647	1106775	249572	265610	340361	251232	0.519956	0.513768	0.292619	43526312	43518360	43506096	6307	12040	526	43520005	43506320	43505570	43505092	36059671	7445421	36059671	33525218	retained
M300594	Caecum right	Positive	MSEB0006	G121eI101B	B12	75509.65016	26477.81882	5000	Plate96_Covaris_520272	Success	2	13	G121e	ULV2_Full	52001076	49488626	742072	6736321	80315	28472	28486	15122	8235	7800161400	7317341779	211528924	1302620	280902	287835	430596	303287	0.528928	0.5194	0.337881	49488626	49482860	49337006	3863	144672	726	49484763	49338188	49336280	49335756	40838865	8496891	40838865	37645992	retained
M300595	Caecum right	Positive	MSEB0006	G121eI101B	B12	75650.54014	26591.91336	5000	Plate96_Covaris_520272	Success	1	13	G121e	ULV2_Full	54883926	52968572	840214	5226722	89715	32737	33075	16027	7876	8232588900	7862408096	142599481	1398086	321246	330939	446535	299366	0.51552	0.509457	0.274747	52968572	52949404	52941206	17132	7893	540	52951440	52941511	52940666	52940152	44216542	8723610	44216542	40973254	retained
M300596	Caecum right	Positive	MSEB0006	G121eI101B	B12	75822.8379	26598.11002	5000	Plate96_Covaris_520272	Success	1	13	G121e	ULV2_Full	52777964	50936014	908702	2420586	83585	29980	30395	14197	9013	7916694600	7606662834	80359500	1335156	292880	302598	358620	381058	0.519526	0.513865	0.283792	50936014	50930456	50923916	2894	6235	754	50933120	50924221	50923162	50922442	42700754	8221688	42700754	39715797	retained
M300597	Caecum right	Positive	MSEB0006	G121eI101B	B12	76147.10238	26625.27964	5000	Plate96_Covaris_520272	Success	1	13	G121e	ULV2_Full	59786184	58024204	983212	5438710	95844	34813	34956	16752	9323	8967927600	8612130654	130036970	1483743	340632	346865	439121	357125	0.519674	0.515382	0.381555	58024204	58018516	57988352	3157	29648	2358	58021047	57988868	57985994	57985290	48661739	9323551	48661739	45242171	retained
M300598	Caecum right	Positive	MSEB0006	G121eI101B	B12	76899.2447	26623.5228	5000	Plate96_Covaris_520272	Fail	4	13	G121e	ULV2_Full	51932876	50385028	783906	4838035	83802	30016	30569	15274	7943	7789931400	7473021906	123514047	1341039	293754	302904	439648	304733	0.519168	0.514413	0.299393	50385028	50380400	50369314	2547	10703	594	50382481	50369697	50368720	50368170	42202040	8166130	42202040	39043459	retained
M300599	Caecum right	Positive	MSEB0006	G121eI101B	B12	76852.72528	26643.02112	5000	Plate96_Covaris_520272	Success	1	13	G121e	ULV2_Full	49738156	48154838	759388	2760294	73750	26805	27078	12789	7078	7460723400	7184003320	83830537	1088829	261571	268197	313613	245448	0.524178	0.519109	0.19433	48154838	48151562	48148980	1692	2375	421	48153146	48149187	48148559	48148140	40441151	7706989	40441151	37527660	retained
M300600	Caecum right	NegativeCollection	MSEB0006	G121eI101Z	B12	NA	NA	NA	Plate96_Covaris_520272	NA	0	13	G121e	ULV2_Full	848944	150618	23678	700017	2347	868	757	117	605	127341600	21399217	44704016	44184	9269	11604	2726	20585	0.730935	0.539287	0.199641	150618	150320	98512	204	51473	83	150414	98847	98429	98396	884	97512	884	0	excluded
M300601	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B12	72982.58182	21722.53192	5000	Plate96_Covaris_520272	Success	2	13	G121e	ULV2_Full	7162768	4153800	123762	3795949	9240	1898	2498	1953	2891	1074415200	596841364	209083279	219902	20341	42181	54834	102546	0.691373	0.637648	0.282408	4153800	4148240	4092264	5311	55500	230	4148489	4092740	4092034	4091968	2379	4089589	2379	0	excluded
M300602	Ileum	Positive	MSEB0006	G121eD101C	B11	104424.7	42749.48	5000	Plate96_Covaris_520272	Success	2	14	G121e	ULV2_Full	14329858	12961166	194792	3952750	46807	18268	19379	5841	3319	2149478700	1865854518	153923919	691985	206927	224348	186353	74357	0.477927	0.448477	0.494253	12961166	8399694	8359764	4531322	39649	403	8429844	8360045	8359361	8359252	4460766	3898486	4460766	4264455	retained
M300603	Ileum	Positive	MSEB0006	G121eD101C	B11	104606.9	42459.54	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	4827904	2577876	83794	2509957	15575	5830	6053	1786	1906	724185600	377334180	149905199	252040	67427	80425	48869	55319	0.598657	0.449789	0.374753	2577876	1010420	972808	1557027	37131	217	1020849	973289	972591	972550	516967	455583	516967	429618	retained
M300604	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B11	101758.4	36668.7	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	10752892	298050	128442	10264201	17698	3552	6436	481	7229	1612933800	39238335	669386229	452260	34118	109720	18784	289638	0.773199	0.565221	0.150809	298050	296838	211128	754	85331	297	297296	211507	210831	210644	1311	209333	1311	0	excluded
M300605	Ileum	Positive	MSEB0006	G121eD101C	B11	104954.5	42730.89	5000	Plate96_Covaris_520272	Success	2	14	G121e	ULV2_Full	1912394	982374	29280	1092709	4836	2049	1764	495	528	286859100	141991409	63806841	79796	23919	26487	12024	17366	0.62075	0.480887	0.365517	982374	921710	727114	60077	191275	284	922297	730435	726830	726822	274348	452474	274348	244358	retained
M300606	Ileum	Positive	MSEB0006	G121eD101C	B11	105122.5	42666.74	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	1311520	1051676	19178	485190	2202	802	787	392	221	196728000	151958601	21487150	36319	9189	10163	10516	6451	0.587469	0.545483	0.438599	1051676	1049056	980104	2576	68379	233	1049100	980677	979871	979858	553306	426552	553306	61672	retained
M300607	Ileum	NegativeReaction	MSEB0006	G121eD101R	B11	NA	NA	NA	Plate96_Covaris_520272	NA	0	14	G121e	ULV2_Full	880198	231418	21084	736940	2601	1160	627	147	667	132029700	30426338	44245050	50841	12786	9221	4114	24720	0.718438	0.573644	0.190069	231418	231172	210364	173	20681	117	231245	210491	210247	210230	1337	208893	1337	0	excluded
M300608	Ileum	Positive	MSEB0006	G121eD101C	B11	105262.7	42589.77	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	2422996	1947440	40054	730445	6453	2776	2616	606	455	363449400	284625639	35830812	93728	27738	29014	19608	17368	0.47167	0.400075	0.457165	1947440	1800994	1760766	145289	39907	583	1802151	1761087	1760183	1760146	1216478	543668	1216478	1160345	retained
M300609	Ileum	Positive	MSEB0006	G121eD101C	B11	105328.9	42703.6	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	8833250	6406798	102542	3287394	20339	8227	8836	1619	1657	1324987500	934993756	175318445	309258	84572	100465	60330	63891	0.499459	0.397757	0.442901	6406798	6374892	6136476	31412	237335	240	6375386	6137557	6136236	6136152	4147885	1988267	4147885	3975025	retained
M300610	Ileum	Positive	MSEB0006	G121eD101C	B11	105102.4	41497.1	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	9427188	4551766	111252	5306963	17281	6391	6742	1428	2720	1414078200	669141371	320669263	301481	64413	93647	47264	96157	0.591686	0.396257	0.415105	4551766	4162814	4118750	386099	43793	1728	4165667	4119021	4117022	4116920	3035867	1081053	3035867	2942213	retained
M300611	Ileum	Positive	MSEB0006	G121eD101C	B11	105146	41596.22	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	5914334	267318	81396	5558919	5898	1853	1679	280	2086	887150100	38471967	362904478	153497	17517	44574	8783	82623	0.759834	0.469293	0.327783	267318	255042	229718	11444	25097	146	255874	229945	229572	229554	85472	144082	85472	44446	retained
M300612	Ileum	Positive	MSEB0006	G121eD101C	B11	105281	41702.52	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	8375058	5635824	147282	3310141	19278	9425	6287	1911	1655	1256258700	827980840	186800814	295366	94092	78757	58816	63701	0.547661	0.43741	0.377908	5635824	5464674	5381644	169627	82582	218	5466197	5382092	5381426	5381360	3186350	2195010	3186350	3085678	retained
M300613	Ileum	Positive	MSEB0006	G121eD101C	B11	105408.3	41533.66	5000	Plate96_Covaris_520272	Fail	4	14	G121e	ULV2_Full	4225568	396986	69846	3798909	5552	2182	1684	241	1445	633835200	57150384	246095467	117387	21274	33829	8389	53895	0.746157	0.464218	0.312924	396986	383482	351872	13274	31400	117	383712	352082	351755	351728	90364	261364	90364	72391	retained
M300614	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B11	101928.6	37181.6	5000	Plate96_Covaris_520272	Success	4	14	G121e	ULV2_Full	4655762	175552	57732	4413293	4532	1553	1080	233	1666	698364300	24666995	287966239	124210	16996	30038	9899	67277	0.767397	0.566714	0.297917	175552	175194	138008	321	36994	83	175231	138200	137925	137914	1675	136239	1675	0	excluded
M300615	Ileum	NegativeCollection	MSEB0006	G121eD101Z	B11	NA	NA	NA	Plate96_Covaris_520272	NA	0	14	G121e	ULV2_Full	43791720	48904	429874	42589686	41309	7450	13754	1110	18995	6568758000	6462805	2784347318	1214546	71015	340646	50122	752763	0.775523	0.609751	0.470865	48904	47288	38070	974	9057	290	47930	38231	37780	37504	628	36876	628	0	excluded
M300616	Ileum	Positive	MSEB0006	G121eD101C	B11	105595.7	41999.37	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	5358532	2330802	122006	3075347	10441	3898	3885	819	1839	803779800	344636650	193596624	194493	41137	53885	29196	70275	0.621922	0.429426	0.361728	2330802	2308536	2144798	21832	163033	1463	2308970	2145503	2143335	2143266	1347620	795646	1347620	1295350	retained
M300617	Ileum	Positive	MSEB0006	G121eD101C	B11	105983	42106.21	5000	Plate96_Covaris_520272	Fail	4	14	G121e	ULV2_Full	6526366	3269466	121590	3569290	15316	5970	5442	1976	1928	978954900	479556280	215350024	265043	65605	75969	61082	62387	0.601865	0.433758	0.400527	3269466	2070050	1988840	1192043	79922	171	2077423	1990128	1988669	1988616	1353590	635026	1353590	1105259	retained
M300618	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B11	101861.4	37375.71	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	11345618	151344	172646	10618075	23904	3339	7807	925	11833	1701842700	19997833	689285629	684235	32550	128013	30686	492986	0.778537	0.609688	0.324398	151344	150460	134368	474	15807	196	150870	134653	134172	134034	1219	132815	1219	0	excluded
M300619	Ileum	Positive	MSEB0006	G121eD101C	B11	106845.7	41525.8	5000	Plate96_Covaris_520272	Success	2	14	G121e	ULV2_Full	6064888	2877266	87666	3499307	11985	4701	4315	940	2029	909733200	420149936	210092089	221712	46580	55196	38987	80949	0.595283	0.396411	0.383406	2877266	2730768	2694182	145301	36361	166	2731965	2694407	2694016	2693964	1929624	764340	1929624	1758857	retained
M300620	Ileum	NegativeCollection	MSEB0006	G121eD101Z	B11	NA	NA	NA	Plate96_Covaris_520272	NA	0	14	G121e	ULV2_Full	637182	564126	11528	203582	2915	1375	1056	286	198	95577300	80738053	7871507	44199	17404	13250	7343	6202	0.555266	0.531596	0.464062	564126	561480	304922	2506	254989	94	561620	306491	304828	304824	1566	303258	1566	0	excluded
M300621	Ileum	Positive	MSEB0006	G121eD101C	B11	107360.5	41744.06	5000	Plate96_Covaris_520272	Fail	4	14	G121e	ULV2_Full	26829492	97236	635778	25392025	46509	7014	12276	1926	25293	4024423800	11853057	1703644725	1325339	76841	242412	56198	949888	0.764113	0.626046	0.333838	97236	95146	87538	1137	7334	411	96099	87812	87127	86760	2656	84104	2656	0	excluded
M300622	Ileum	Positive	MSEB0006	G121eD101C	B11	107262.3	42133.87	5000	Plate96_Covaris_520272	Success	2	14	G121e	ULV2_Full	5652052	4926106	85292	1899965	12306	4113	4244	2217	1732	847807800	703862907	75534191	217883	45860	50126	71979	49918	0.533624	0.500981	0.455324	4926106	4716066	4575558	208137	139455	861	4717969	4576611	4574697	4574646	537780	4036866	537780	459365	retained
M300623	Ileum	Positive	MSEB0006	G121eD101C	B11	107820.6	41925.02	5000	Plate96_Covaris_520272	Success	2	14	G121e	ULV2_Full	3513174	2420780	81840	1477206	11350	4394	3703	1760	1493	526976100	350322625	78392671	203740	48391	45898	62134	47317	0.554091	0.458835	0.408256	2420780	1349524	1312558	1061607	36725	149	1359173	1312799	1312409	1312370	828104	484266	828104	699468	retained
M300624	Ileum	Positive	MSEB0006	G121eD101C	B11	107233.5	41764.35	5000	Plate96_Covaris_520272	Success	2	14	G121e	ULV2_Full	2649582	1614384	41026	1514073	7192	3293	2079	862	958	397437300	226634976	79249430	127110	39809	31304	23218	32779	0.622209	0.526564	0.354442	1614384	1603472	1201716	10687	398493	306	1603697	1204979	1201410	1201400	275051	926349	275051	245322	retained
M300625	Ileum	Positive	MSEB0006	G121eD101C	B11	107258.1	42448.02	5000	Plate96_Covaris_520272	Fail	4	14	G121e	ULV2_Full	1105798	910214	18834	534417	3221	1309	1022	521	369	165869700	125347772	22568438	52926	16866	13663	12036	10361	0.582534	0.549176	0.39547	910214	903412	685728	6593	216061	419	903621	687351	685309	685292	50671	634621	50671	0	excluded
M300626	Ileum	NegativeCollection	MSEB0006	G121eD101Z	B12	NA	NA	NA	Plate96_Covaris_520272	NA	0	14	G121e	ULV2_Full	2704082	580236	51678	2158613	6010	2743	1248	601	1418	405612300	83834741	135559353	128243	33851	24802	17375	52215	0.73266	0.574705	0.28042	580236	579908	361320	226	216935	210	580010	362973	361110	361084	1368	359716	1368	0	excluded
M300627	Ileum	Positive	MSEB0006	G121eD101C	B12	108112	45420.81	5000	Plate96_Covaris_520272	Success	2	14	G121e	ULV2_Full	3256580	1261562	64294	2097241	8700	3160	2815	855	1870	488487000	184296120	128176143	171233	35002	40936	24271	71024	0.653121	0.460396	0.344208	1261562	953120	869214	305900	82545	403	955662	870575	868811	868752	450874	417878	450874	422391	retained
M300628	Ileum	Positive	MSEB0006	G121eD101C	B12	108221.6	45346.45	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	3991964	3618410	56134	809034	12768	5198	4744	1827	999	598794600	531100809	31701442	200522	55649	55290	57741	31842	0.46032	0.430016	0.519652	3618410	2786456	2692714	825309	92129	246	2793101	2694327	2692468	2692412	1991335	701077	1991335	1902427	retained
M300629	Ileum	Positive	MSEB0006	G121eD101C	B12	108085.5	45636.13	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	13639050	12983946	273214	1801907	69032	25713	25201	11782	6336	2045857500	1915584968	53763391	1123552	305442	305290	362976	149844	0.464359	0.453373	0.511928	12983946	2471976	2333448	10427866	137492	594	2556080	2334484	2332854	2332674	1462683	869991	1462683	1351836	retained
M300630	Ileum	Positive	MSEB0006	G121eD101C	B12	108093.7	45848.93	5000	Plate96_Covaris_520272	Success	3	14	G121e	ULV2_Full	48206734	45865964	1092316	5125089	309542	122160	123047	41419	22916	7231010100	6788899531	156420366	4835284	1469473	1505343	1257299	603169	0.450398	0.439633	0.267447	45865964	1936796	1922686	43575085	12860	915	2290879	1923936	1921771	1921216	715217	1205999	715217	668132	retained
M300631	Ileum	Positive	MSEB0006	G121eD101C	B12	107697.5	45704.29	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	8350980	7365776	123698	2654841	18683	7211	5807	3217	2448	1252647000	1060528745	98192122	313921	79821	68288	96366	69446	0.530966	0.500568	0.483355	7365776	6552002	6445580	807369	105426	215	6558407	6446576	6445365	6445280	1885842	4559438	1885842	1767171	retained
M300632	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B12	102872.4	38456.93	5000	Plate96_Covaris_520272	Fail	4	14	G121e	ULV2_Full	857768	251366	21706	669986	1818	748	427	192	451	128665200	34806025	40420518	39114	8709	6901	6382	17122	0.716427	0.587036	0.251572	251366	250766	220290	570	29598	177	250796	221168	220113	220102	9804	210298	9804	0	excluded
M300633	Ileum	Positive	MSEB0006	G121eD101C	B12	107727.5	45487.09	5000	Plate96_Covaris_520272	Success	3	14	G121e	ULV2_Full	7846360	7013928	108816	1593406	25285	10486	10100	2904	1795	1176954000	1031328580	65949304	384214	108701	109835	103778	61900	0.439394	0.401806	0.499935	7013928	5950768	5824170	1054206	125485	353	5959722	5825283	5823817	5823710	4605035	1218675	4605035	4422920	retained
M300634	Ileum	Positive	MSEB0006	G121eD101C	B12	106635.9	42106.55	5000	Plate96_Covaris_520272	Success	2	14	G121e	ULV2_Full	9650450	6663142	165280	4041735	24084	10622	8042	2792	2628	1447567500	972009264	208951065	439128	108816	94230	113636	122446	0.511787	0.394633	0.432962	6663142	6627658	6556522	34731	70657	438	6628411	6557001	6556084	6555920	4912704	1643216	4912704	4636928	retained
M300635	Ileum	NegativeReaction	MSEB0006	G121eD101R	B12	NA	NA	NA	Plate96_Covaris_520272	NA	0	14	G121e	ULV2_Full	582122	243238	28840	404148	3056	1976	297	155	628	87318300	33127782	22876037	54832	21785	4601	5003	23443	0.690045	0.591221	0.22353	243238	241590	216644	1634	24826	90	241604	216764	216554	216546	1358	215188	1358	0	excluded
M300636	Ileum	Positive	MSEB0006	G121eD101C	B12	106545.5	42220.7	5000	Plate96_Covaris_520272	Success	2	14	G121e	ULV2_Full	4403574	4069462	74698	908154	12040	4954	4780	1516	790	660536100	594186144	32823667	174918	51815	51265	46034	25804	0.467453	0.445841	0.507964	4069462	4016970	3819752	51597	179771	258	4017865	3837199	3819494	3819438	2118559	1700879	2118559	1810719	retained
M300637	Ileum	Positive	MSEB0006	G121eD101C	B12	106948.1	42956.5	5000	Plate96_Covaris_520272	Success	2	14	G121e	ULV2_Full	1607570	1456382	33494	329033	11675	5554	4400	1119	602	241135500	213243466	12078241	171188	68742	59393	24392	18661	0.499511	0.474562	0.466717	1456382	1453222	292450	2623	1155279	84	1453759	297943	292366	292344	25412	266932	25412	0	excluded
M300638	Ileum	Positive	MSEB0006	G121eD101C	B12	106647	42288.86	5000	Plate96_Covaris_520272	Success	2	14	G121e	ULV2_Full	2814026	2617896	25566	652688	7897	3455	3384	761	297	422103900	382089913	21369791	113412	34155	34380	31915	12962	0.410661	0.382956	0.450165	2617896	2606292	2581742	11422	24083	4878	2606474	2582209	2576864	2576772	1932527	644245	1932527	1781152	retained
M300639	Ileum	Positive	MSEB0006	G121eD101C	B12	106800.5	41821.88	5000	Plate96_Covaris_520272	Success	2	14	G121e	ULV2_Full	12421758	12245838	90912	3123162	32324	14160	15236	2375	553	1863263700	1766576132	74838616	422320	136503	147108	109685	29024	0.387876	0.379586	0.405169	12245838	12223434	12210148	21988	13072	151	12223850	12210362	12209997	12209910	10357462	1852448	10357462	9966999	retained
M300640	Ileum	Positive	MSEB0006	G121eD101C	B12	107052.7	42525.49	5000	Plate96_Covaris_520272	Success	2	14	G121e	ULV2_Full	973024	878404	7270	335602	2952	1379	1311	170	92	145953600	125883403	11413661	38057	13426	13012	7895	3724	0.411977	0.368235	0.185027	878404	875668	872200	2705	3455	18	875699	872213	872182	872178	752098	120080	752098	716615	retained
M300641	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B12	103203.4	38334.96	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	1360718	955888	24248	552540	3338	1345	1046	572	375	204107700	139359427	28568430	59885	16641	15115	17218	10911	0.628143	0.571664	0.391823	955888	952888	748736	2811	202607	577	953077	750281	748159	748146	4072	744074	4072	0	excluded
M300642	Ileum	Positive	MSEB0006	G121eD101C	B12	108030.7	43599.5	5000	Plate96_Covaris_520272	Fail	4	14	G121e	ULV2_Full	19019236	51972	341264	18071916	33292	5369	10813	1087	16023	2852885400	6784450	1187592129	950137	50312	187763	37557	674505	0.774271	0.566209	0.406129	51972	49656	48482	1530	991	309	50442	48665	48173	47864	15167	32697	15167	11354	retained
M300643	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B12	101876.9	39000.58	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	338004	225602	13746	179865	1758	1024	267	154	313	50700600	31510390	8375388	31742	12682	4277	4576	10207	0.641174	0.583295	0.327683	225602	225426	195826	155	29354	123	225447	196072	195703	195700	1052	194648	1052	0	excluded
M300644	Ileum	Positive	MSEB0006	G121eD101C	B12	NA	NA	NA	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	59871342	57772116	913036	8331977	238653	98429	99457	27031	13736	8980701300	8496402536	237379501	3497500	1091619	1115369	913453	377059	0.413886	0.403646	0.537501	57772116	34705840	34644940	22895847	59765	1049	34876269	34646075	34643891	34643256	29503529	5139727	29503528	28370310	retained
M300645	Ileum	Positive	MSEB0006	G121eD101C	B12	107988.2	43509.47	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	16260754	7864894	286878	8925280	43849	12570	20995	2185	8099	2439113100	1153518460	543180544	789205	126561	243141	77992	341511	0.584111	0.382667	0.403331	7864894	7627456	7580142	234792	46914	522	7630102	7580542	7579620	7579200	6536194	1043006	6536194	6333985	retained
M300646	Ileum	NegativeCollection	MSEB0006	G121eD101Z	B12	NA	NA	NA	Plate96_Covaris_520272	NA	0	14	G121e	ULV2_Full	460504	382502	10372	210562	1509	745	368	188	208	69075600	53230765	8254634	25177	8595	4806	5312	6464	0.609875	0.583269	0.414277	382502	381826	324808	649	56749	226	381853	325077	324582	324570	1809	322761	1809	0	excluded
M300647	Ileum	Positive	MSEB0006	G121eD101C	B12	107969.5	43138.84	5000	Plate96_Covaris_520272	Success	2	14	G121e	ULV2_Full	13995666	13331110	210228	1885761	35258	14924	14665	3543	2126	2099349900	1967030094	59592705	512869	153813	154325	122012	82719	0.419027	0.404173	0.520536	13331110	11884326	11839180	1435859	44775	242	11895251	11839551	11838938	11838790	8668213	3170577	8668213	8322628	retained
M300648	Ileum	Positive	MSEB0006	G121eD101C	B12	107883.7	43169.5	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	20482600	20007118	258638	2458290	54198	23402	24397	4467	1932	3072390000	2950312051	62358860	745882	231459	243387	181249	89787	0.39184	0.38515	0.553702	20007118	19225666	19054444	774498	170384	474	19232620	19055282	19053970	19053726	16268855	2784871	16268855	15593287	retained
M300649	Ileum	Positive	MSEB0006	G121eD101C	B12	107984.2	43047.52	5000	Plate96_Covaris_520272	Success	1	14	G121e	ULV2_Full	1312614	226262	39784	1016260	11492	1132	7114	306	2940	196892100	30829662	63939380	206347	12349	77864	13958	102176	0.746454	0.59383	0.181066	226262	222346	191348	3433	30749	251	222829	191597	191097	190900	12770	178130	12770	0	excluded
M300650	Caecum right	NegativeCollection	MSEB0009	G121eI102Z	B12	13017.48022	NA	NA	Plate96_Covaris_520272	NA	0	15	G121e	ULV2_Full	3722720	1629924	86434	2339159	12103	5701	4596	822	984	558408000	236383692	146441089	177317	63675	74235	19185	20222	0.6718795	0.5436755	0.3256455	1629924	1625860	995976	3676	626801	443	1626248	999059	995533	995514	3446	992068	3446	0	excluded
M300651	Caecum right	Positive	MSEB0009	G121eI102A	B12	11906.706	17302.784	5000	Plate96_Covaris_520272	Success	1	15	G121e	ULV2_Full	48310662	45106344	760664	6399457	74342	28425	30895	8968	6054	7246599300	6679922153	249592894	1019856	276786	324264	218022	200784	0.52248000000000006	0.5104655	0.20738045	45106344	45092162	44860386	12776	230286	4742	45093568	44861876	44855644	44855278	37129357	7725921	37129357	34785205	retained
